AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.012,1000
0,0,0,0,0,1,1,0.011,1000
0,0,0,0,1,0,1,0.007,1000
0,0,0,1,0,0,1,0.012,1000
0,0,1,0,0,0,1,0.0,1000
0,1,0,0,0,0,1,0.06,1000
1,0,0,0,0,0,1,0.027,1000
0,0,0,0,1,1,2,0.006,1000
0,0,0,1,0,1,2,0.011,1000
0,0,0,1,1,0,2,0.007,1000
0,0,1,0,0,1,2,0.0,1000
0,0,1,0,1,0,2,0.0,1000
0,0,1,1,0,0,2,0.0,1000
0,1,0,0,0,1,2,0.054,1000
0,1,0,0,1,0,2,0.03,1000
0,1,0,1,0,0,2,0.06,1000
0,1,1,0,0,0,2,0.002,1000
1,0,0,0,0,1,2,0.015,1000
1,0,0,0,1,0,2,0.013,1000
1,0,0,1,0,0,2,0.027,1000
1,0,1,0,0,0,2,0.002,1000
1,1,0,0,0,0,2,0.117,1000
0,0,0,1,1,1,3,0.006,1000
0,0,1,0,1,1,3,0.0,1000
0,0,1,1,0,1,3,0.0,1000
0,0,1,1,1,0,3,0.0,1000
0,1,0,0,1,1,3,0.032,1000
0,1,0,1,0,1,3,0.054,1000
0,1,0,1,1,0,3,0.03,1000
0,1,1,0,0,1,3,0.0,1000
0,1,1,0,1,0,3,0.0,1000
0,1,1,1,0,0,3,0.002,1000
1,0,0,0,1,1,3,0.01,1000
1,0,0,1,0,1,3,0.015,1000
1,0,0,1,1,0,3,0.013,1000
1,0,1,0,0,1,3,0.0,1000
1,0,1,0,1,0,3,0.0,1000
1,0,1,1,0,0,3,0.002,1000
1,1,0,0,0,1,3,0.08,1000
1,1,0,0,1,0,3,0.064,1000
1,1,0,1,0,0,3,0.117,1000
1,1,1,0,0,0,3,0.008,1000
0,0,1,1,1,1,4,0.0,1000
0,1,0,1,1,1,4,0.032,1000
0,1,1,0,1,1,4,0.0,1000
0,1,1,1,0,1,4,0.0,1000
0,1,1,1,1,0,4,0.0,1000
1,0,0,1,1,1,4,0.01,1000
1,0,1,0,1,1,4,0.0,1000
1,0,1,1,0,1,4,0.0,1000
1,0,1,1,1,0,4,0.0,1000
1,1,0,0,1,1,4,0.054,1000
1,1,0,1,0,1,4,0.08,1000
1,1,0,1,1,0,4,0.064,1000
1,1,1,0,0,1,4,0.0,1000
1,1,1,0,1,0,4,0.001,1000
1,1,1,1,0,0,4,0.008,1000
0,1,1,1,1,1,5,0.0,1000
1,0,1,1,1,1,5,0.0,1000
1,1,0,1,1,1,5,0.054,1000
1,1,1,0,1,1,5,0.0,1000
1,1,1,1,0,1,5,0.0,1000
1,1,1,1,1,0,5,0.001,1000
1,1,1,1,1,1,6,0.0,1000
