AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.3575,400
0,0,0,0,0,1,1,0.8925,400
0,0,0,0,1,0,1,0.0,400
0,0,0,1,0,0,1,0.38,400
0,0,1,0,0,0,1,0.0225,400
0,1,0,0,0,0,1,0.4725,400
1,0,0,0,0,0,1,0.6425,400
0,0,0,0,1,1,2,0.9025,400
0,0,0,1,0,1,2,0.9375,400
0,0,0,1,1,0,2,0.0,400
0,0,1,0,0,1,2,0.0475,400
0,0,1,0,1,0,2,0.0,400
0,0,1,1,0,0,2,0.0225,400
0,1,0,0,0,1,2,0.9375,400
0,1,0,0,1,0,2,0.0,400
0,1,0,1,0,0,2,0.49,400
0,1,1,0,0,0,2,0.0575,400
1,0,0,0,0,1,2,0.9325,400
1,0,0,0,1,0,2,0.3775,400
1,0,0,1,0,0,2,0.66,400
1,0,1,0,0,0,2,0.0475,400
1,1,0,0,0,0,2,0.7175,400
0,0,0,1,1,1,3,0.96,400
0,0,1,0,1,1,3,0.0375,400
0,0,1,1,0,1,3,0.05,400
0,0,1,1,1,0,3,0.0,400
0,1,0,0,1,1,3,0.9775,400
0,1,0,1,0,1,3,0.975,400
0,1,0,1,1,0,3,0.0,400
0,1,1,0,0,1,3,0.1825,400
0,1,1,0,1,0,3,0.0,400
0,1,1,1,0,0,3,0.06,400
1,0,0,0,1,1,3,0.96,400
1,0,0,1,0,1,3,0.97,400
1,0,0,1,1,0,3,0.38,400
1,0,1,0,0,1,3,0.07,400
1,0,1,0,1,0,3,0.025,400
1,0,1,1,0,0,3,0.0475,400
1,1,0,0,0,1,3,0.985,400
1,1,0,0,1,0,3,0.3825,400
1,1,0,1,0,0,3,0.7175,400
1,1,1,0,0,0,3,0.2175,400
0,0,1,1,1,1,4,0.05,400
0,1,0,1,1,1,4,0.9875,400
0,1,1,0,1,1,4,0.1175,400
0,1,1,1,0,1,4,0.195,400
0,1,1,1,1,0,4,0.0,400
1,0,0,1,1,1,4,0.985,400
1,0,1,0,1,1,4,0.0575,400
1,0,1,1,0,1,4,0.075,400
1,0,1,1,1,0,4,0.0275,400
1,1,0,0,1,1,4,0.99,400
1,1,0,1,0,1,4,0.9925,400
1,1,0,1,1,0,4,0.3825,400
1,1,1,0,0,1,4,0.375,400
1,1,1,0,1,0,4,0.1225,400
1,1,1,1,0,0,4,0.2175,400
0,1,1,1,1,1,5,0.175,400
1,0,1,1,1,1,5,0.0675,400
1,1,0,1,1,1,5,0.9925,400
1,1,1,0,1,1,5,0.3475,400
1,1,1,1,0,1,5,0.3875,400
1,1,1,1,1,0,5,0.135,400
1,1,1,1,1,1,6,0.4075,400
